x
Abtb2_2
Ahi1_1
Ahi1_2
Ahi1_3
Aire_1
Aire_3
Amfr_1
Anapc1_2
Anapc10_3
Anapc11_1
Anapc13_1
Anapc2_3
Anapc7_3
Apaf1_2
Apbb1_2
Apc_1
Ar_2
Armc8_2
Arpc1a_2
Arrb1_2
Asb1_3
Asb11_2
Asb12_2
Asb14_1
Asb15_1
Asb18_2
Asb18_3
Asb2_1
Asb3_3
Asb4_2
Asb6_2
Asb7_2
Asb8_1
Asb8_2
Asb8_3
Asb9_1
Atg16l1_3
Atg16l2_1
Atg5_3
Atxn3_1
Bach2_1
Bach2_3
Bard1_2
Baz1b_3
Bcl6_2
Bcl6b_1
Bcl6b_3
Bfar_3
Bid_2
Birc3_3
Birc7_1
Birc7_2
Birc7_3
Brwd1_2
Btbd11_1
Btbd11_2
Btbd11_3
Btbd18_1
Btbd18_2
Btbd19_2
Btbd2_2
Btbd6_1
Btbd8_2
Btbd9_3
Btrc_3
Cacybp_2
Cadps2_2
Cbl_2
Cblb_3
Cblc_2
Cbx4_1
Cbx4_2
Cbx4_3
Ccdc40_1
Ccdc40_2
Ccin_3
Ccnb1ip1_1
Ccnb2_1
Ccnd1_2
Ccnf_3
Cd2ap_1
Cdc16_2
Cdc20b_1
Cdc20b_3
Cdc23_3
Cdc26_1
Cdc27_1
Cdc34_2
Cdca3_2
Cdk5_2
Cdkn1b_3
Cdkn2a_2
Cfap44_1
Cfap52_3
Cfap57_1
Cgrrf1_1
Chd3_1
Chd5_3
Chfr_2
Ciao1_2
Cish_3
Cntn4_1
Coro1b_1
Coro1b_2
Coro1c_3
Coro2a_2
Coro2b_3
Coro6_2
Coro7_1
Cpne1_1
Cpne9_2
Crbn_3
Cry1_2
Cryab_1
Ctnnb1_1
Ctnnb1_2
Ctnnb1_3
Cul4a_1
Cul4b_2
Cul7_1
Cul9_3
Cxcr4_3
Cyld_3
D7Ertd443e_1
D7Ertd443e_2
D7Ertd443e_3
Dab1_1
Daw1_1
Dazap2_2
Dbt_2
Dcaf12_1
Dcaf12_3
Dcaf12l1_2
Dcaf12l2_1
Dcaf12l2_2
Dcaf12l2_3
Dcaf15_3
Dcaf17_3
Dcaf4_3
Dcaf5_3
Dcaf6_2
Dcaf8_1
Dcaf8_2
Dcaf8_3
Dcst1_3
Dcun1d3_3
Dcun1d5_2
Ddb2_1
Ddx58_1
Dennd3_3
Diablo_2
Dio1_2
Dmwd_3
Dmxl1_2
Dmxl2_1
Dnaic1_2
Dnaic1_3
Dnaic2_3
Dok3_1
Dok3_2
Dok3_3
Dpf1_2
Dpf3_2
Dph7_3
Dpy19l2_1
Dpy19l2_2
Dpy19l2_3
Dpysl2_1
Drd4_1
Dtx3_3
Dtx3l_3
Dtx4_1
Dync1i1_2
Dync1i2_1
Dzip3_3
Ecel1_2
Efcab8_3
Egfr_2
Elp2_3
Eml1_2
Eml3_1
Eml4_3
Eml5_3
Eml6_3
Enc1_1
Enc1_3
Ercc8_1
Ercc8_2
Ercc8_3
Exoc5_1
Exoc5_3
Fancl_3
Fas_2
Fasl_1
Fasn_2
